head	relation	tail
AGAP2-AS1	expression association	MEG3
EWSAT1	epigenetic regulation	SNAI2
PEG10	expression association	miR-29b
lncRNA2448-11	expression association	TNF
SOCS2-AS1	epigenetic regulation	TNFSF10
Linc8087	transcriptional regulation	SERPINE1
UCA1	expression association	MIR182
AGAP2-AS1	ceRNA or sponge	AKT3
TINCR	ceRNA or sponge	miR-31
IRF1-AS	interact with protein	ILF3
AFAP1-AS1	ceRNA or sponge	RAP1B
NEAT1	ceRNA or sponge	miR-204
LINC00319	ceRNA or sponge	MIR32
TUG1	ceRNA or sponge	HSF2
LOXL1-AS1	ceRNA or sponge	STAT3
TP53	transcriptional regulation	PGM5-AS1
AFAP1-AS2	ceRNA or sponge	miR-545
MT1DP	expression association	FOXA1
HOXA11-AS	expression association	SRSF1
NLIPMT	expression association	GSK3Â¦Ã
HORAS5	expression association	AR
WFDC21P	interact with protein	PKM
TDRG1	expression association	RHOC
PVT1	ceRNA or sponge	miR-30d-5p
ZNF281	expression association	POU5F1
MEG3	ceRNA or sponge	ALG9
DANCR	epigenetic regulation	TIMP2
LINC00526	transcriptional regulation	AXL
FENDRR	epigenetic regulation	SETDB1
SPRY4-IT1	expression association	MMP9
DANCR	ceRNA or sponge	NRAS
H19	ceRNA or sponge	PFKFB3
PTTG3P	ceRNA or sponge	CCND1
ADAMTS9-AS2	ceRNA or sponge	PTEN
HNRNPH1	expression association	RP11-670E13.6
CCAT1	ceRNA or sponge	BCL2L1
MALAT1	expression association	ABC
ZNF281	expression association	Nestin
RGMB-AS1	ceRNA or sponge	NFIB
SP1	transcriptional regulation	PANDAR
LINC00511	expression association	BCL2
MIR155HG	transcriptional regulation	miR-155-3p
HOTAIR	ceRNA or sponge	MIR219A1
DBH-AS1	expression association	p-Akt
NORAD	ceRNA or sponge	STAT3
TP53COR1	epigenetic regulation	MDM2
ACTA2-AS1	ceRNA or sponge	SMAD3
PVT1	interact with protein	FOXO3
LINC00160	ceRNA or sponge	PIK3R3
SNHG1	expression association	HES2
SNHG5	ceRNA or sponge	TWIST1
CASC9	interact with protein	CREBBP
HOTAIR	epigenetic regulation	MTHFR
TGFB1	transcriptional regulation	TUG1
NORAD	ceRNA or sponge	miR-202-5p
ELFN1-AS1	ceRNA or sponge	TRIM44
GAS5	expression association	Ki-67
UCA1	expression association	ZEB1
OIP5-AS1	ceRNA or sponge	ELAVL1
PVT1	ceRNA or sponge	miR<U+2011>16
SNHG20	transcriptional regulation	MMP1
MALAT1	expression association	PXN
KCNMA1-AS1	expression association	Caspase9
LINC01138	interact with protein	PRMT5
KCNQ1OT1	ceRNA or sponge	miR-24-3p
HOTAIR	ceRNA or sponge	ZEB1
LINC00673	interact with protein	POU4F1
LINC00052	expression association	KLF6
LNCDQ	interact with protein	EZH2
HAND2-AS1	ceRNA or sponge	PDCD4
CDKN2B-AS1	expression association	ATM
AFAP1-AS1	ceRNA or sponge	HDGF
LINC00299	ceRNA or sponge	AURKA
MEG3	expression association	AP1G1
PTENP1	ceRNA or sponge	MTUS1
SPRY4-IT1	ceRNA or sponge	miR-101-3p
NORAD	expression association	CAPN7
MALAT1	ceRNA or sponge	miR-125b-5p
C1QTNF1-AS1	ceRNA or sponge	SOCS3
CRNDE	expression association	NOTCH1
THORLNC	ceRNA or sponge	STAT3
MIR4435-2HG	ceRNA or sponge	MIR4288
LINC02349	ceRNA or sponge	WNT10B
AGAP2-AS1	epigenetic regulation	KLF2
MALAT1	ceRNA or sponge	CCL21
MSC-AS1	ceRNA or sponge	miR-140-5p
MEG3	transcriptional regulation	GDF15
MALAT1	expression association	miR-155
CHRF	ceRNA or sponge	MYD88
PCA3	expression association	ABCA1
HOXC-AS3	transcriptional regulation	miR-105-5p
MGAT3-AS1	ceRNA or sponge	NFKB1
HCP5	ceRNA or sponge	MET
IGF2-AS	expression association	PI4P
MCM3AP-AS1	ceRNA or sponge	VEGFA
H19	ceRNA or sponge	MAPK1
COL1A2-AS1	ceRNA or sponge	miR-21
HCG11	ceRNA or sponge	PBX3
SNHG4	ceRNA or sponge	MET
LINC-PINT	ceRNA or sponge	PTCH1
MALAT1	ceRNA or sponge	CREB1
BLACAT1	interact with protein	EZH2
MALAT1	interact with protein	YY1AP1
LNC-LBCS	interact with protein	EZH2
CASC11	ceRNA or sponge	FOXO3
SNHG3	ceRNA or sponge	PKM
TUG1	ceRNA or sponge	miR-9
PVT1	ceRNA or sponge	miR-145-5p
MIAT	ceRNA or sponge	MMP2
linc-UFC1	expression association	MAPK1
LINC00460	ceRNA or sponge	MMP9
DLEU2	expression association	MYB
RPL34-DT	expression association	RPL34
SNHG1	ceRNA or sponge	HOXC8
CDKN2B-AS1	expression association	SMAD2
SYNE1-AS1	ceRNA or sponge	SP1
UCA1	ceRNA or sponge	BRD4
CASC15	ceRNA or sponge	miR-34c
SALL4	transcriptional regulation	DANCR
TTTY15	epigenetic regulation	TBX4
SAMMSON	interact with protein	C1QBP
SNHG3	ceRNA or sponge	TOP2A
MALAT1	ceRNA or sponge	miR-375
HEIH	ceRNA or sponge	CDK8
HOTAIR	epigenetic regulation	PLK4
LncCCAT1	ceRNA or sponge	DNMT1
MAGI2-AS3	expression association	FASLG
MEG3	interact with protein	SMO
TGFbeta2-AS1	expression association	TGFB2
HOTAIR	epigenetic regulation	CENPE
GAS5	ceRNA or sponge	HDAC4
TINCR	ceRNA or sponge	DDX5
THAP9-AS1	interact with protein	YY1AP1
E2F1	transcriptional regulation	LINC00668
MALAT1	ceRNA or sponge	KLF5
TTN-AS1	expression association	ELAVL1
SNHG7	transcriptional regulation	miR-485-5p
NEAT1	ceRNA or sponge	GSDME
SNHG14	transcriptional regulation	EZH2
LINC00641	ceRNA or sponge	ZBTB20
SAMMSON	interact with protein	TP53
DANCR	ceRNA or sponge	FOXC2
lnc005620	expression association	ITGB1
LOXL1-AS1	expression association	EGFR
POU3F3	transcriptional regulation	DALIR
DUXAP9	ceRNA or sponge	VIM
FGF13-AS1	interact with protein	IGF2BPs
RP1-86C11.7	ceRNA or sponge	TFRC
PWRN1	epigenetic regulation	miR-214-5p
XIST	ceRNA or sponge	AR
CRNDE	ceRNA or sponge	IRS1
HNF1A-AS1	ceRNA or sponge	SOX4
E2F1	transcriptional regulation	SENEBLOC
EPIC1	expression association	Cyclin A
MALAT1	interact with protein	SP1
MEG3	ceRNA or sponge	SOCS5
EGR1	expression association	LINC01116
MALAT1	ceRNA or sponge	CNR1
MALAT1	ceRNA or sponge	BIRC5
HCP5	expression association	AP1G1
TFAP2A-AS1	ceRNA or sponge	SMAD2
DANCR	ceRNA or sponge	miR-216a
MALAT1	expression association	CD80
MAFG-DT	ceRNA or sponge	MYB
DPP10-AS1	expression association	TIMP3
SLC7A11-AS1	expression association	SLC7A11
HAGLROS	ceRNA or sponge	miR-100
PSTPIP1	expression association	HOTTIP
RAB11B-AS1	interact with mRNA	RAB11B
IRAIN	interact with protein	EZH2
PANDAR	interact with protein	E2F1
OTUD6B-AS1	ceRNA or sponge	miR-183-5p
LNCRNA-ATB	ceRNA or sponge	ILF3
Giver	expression association	IL6
TPTE2P1	expression association	BCL2
LINC00673	transcriptional regulation	KLF2
IUR	ceRNA or sponge	ZEB1
NORAD	ceRNA or sponge	AKT1
LINC00997	interact with protein	STAT3
LOC646616	ceRNA or sponge	WNT3
H19	interact with protein	MBD1
LINC00858	interact with protein	HNF1A
GPC3-AS1	epigenetic regulation	GPC3
GAS5	interact with mRNA	CDK6
TP73-AS1	expression association	CASP3
CCAT1	expression association	FOXO1
HOTAIR	ceRNA or sponge	BMI1
H19	expression association	NANOG
SLC26A4-AS1	expression association	ERK
LSINCT5	transcriptional regulation	AKT1
XLOC_006390	expression association	EYA2
H19	ceRNA or sponge	SOX8
MALAT1	ceRNA or sponge	miR-96
CCEPR	interact with mRNA	PCNA
LINC01518	ceRNA or sponge	PIK3CA
PCAT1	expression association	ID3
NEAT1	expression association	CD44
MIR22HG	ceRNA or sponge	DAPK1
MIR31HG	ceRNA or sponge	miR-214
FGD5	ceRNA or sponge	RORA
MALAT1	ceRNA or sponge	RET
MCM3AP-AS1	ceRNA or sponge	FOXF2
GACAT3	expression association	CDKN1A
H19	ceRNA or sponge	SOX4
DLX6-AS1	ceRNA or sponge	E2F1
NBAT1	ceRNA or sponge	GSK3B
TPT1-AS1	ceRNA or sponge	miR-324-5p
PVT1	expression association	MTOR
GAS5	expression association	KLF2
HCG11	ceRNA or sponge	MDM2
NFIA-AS2	ceRNA or sponge	ZFX
PART1	ceRNA or sponge	SOX4
DANCR	expression association	miR-758-3p
SNHG1	ceRNA or sponge	miR-383-5p
LINC00261	ceRNA or sponge	SFRP2
HOTAIR	expression association	BAX
ZFAS1	ceRNA or sponge	MMP-15
CHROMR	expression association	MIR33B
CDKN2B-AS1	interact with protein	DUSP1
MEG3	interact with protein	JAK2
loc285194	expression association	HK2
XIST	ceRNA or sponge	miR-152
MIR3936HG	expression association	STMN1
CXCR4	transcriptional regulation	XIST
ZFAS1	ceRNA or sponge	miR-150-5p
SNHG16	ceRNA or sponge	NRP1
EZH2	transcriptional regulation	PHACTR2-AS1
OIP5-AS1	ceRNA or sponge	AGPAT2
YAP1	interact with protein	MALAT1
PCAT7	ceRNA or sponge	TGFBR1
LINC00668	interact with protein	EZH2
RMRP	ceRNA or sponge	DDX5
SYNE3	expression association	CDKN1A
SNHG3	expression association	CTNNB1
SNHG12	ceRNA or sponge	NOTCH2
LINC00461	ceRNA or sponge	METAP1
LINC00673	ceRNA or sponge	miR-150-5p
LINC00473	ceRNA or sponge	SPIN1
CASC9	ceRNA or sponge	ADAM9
AGAP2-AS1	ceRNA or sponge	HDGF
FER1L4	expression association	AKT1
IRF1	expression association	IRF1-AS
TUG1	expression association	CTNNB1
ZEB1	transcriptional regulation	HCCL5
CAR10	expression association	EGFR
BRD4	transcriptional regulation	HOTAIR
NMRAL2P	expression association	CDH1
MYOSLID	expression association	PDPN
MALAT1	expression association	miR-124
AFAP1-AS1	ceRNA or sponge	RAI14
LINC00472	ceRNA or sponge	TRIM8
HOTAIR	expression association	ABCB1
FOXP4-AS1	expression association	KDM1A
FOXD3-AS1	ceRNA or sponge	miR-296-5p
RPPH1	expression association	BAX
MALAT1	ceRNA or sponge	HIF3A
miR-376c-3p	ceRNA or sponge	CYTOR
OIP5-AS1	ceRNA or sponge	miR-378a-3p
LINC00511	epigenetic regulation	CDKN1C
LINC01419	epigenetic regulation	RECK
APTR	epigenetic regulation	CDKN1A
PSTPIP1	expression association	TGFB1
HCG18	ceRNA or sponge	FGFR1
HCP5	ceRNA or sponge	BIRC3
PVT1	ceRNA or sponge	DROSHA
SMIM45	ceRNA or sponge	BCL2L1
LINC01551	ceRNA or sponge	ADAM10
ZFAS1	ceRNA or sponge	USF1
XIC	ceRNA or sponge	CEBPA
CCAT1	ceRNA or sponge	miR-410
SNHG1	ceRNA or sponge	PLK4
MEG3	ceRNA or sponge	E-cadherin
LINC00612	ceRNA or sponge	PHF14
SNHG15	expression association	MIR627
HOTAIRM1	ceRNA or sponge	miR-125b
HOXA11-AS	ceRNA or sponge	TGFbetaR1
NEAT1	expression association	GPX4
SNHG16	ceRNA or sponge	miR-124-3p
MALAT1	ceRNA or sponge	GOLM1
TP53COR1	interact with protein	HNRNPK
HULC	expression association	ZIC2
NEAT1	ceRNA or sponge	CYP1A2
LncIHAT	transcriptional regulation	PDPK1
SMILR	ceRNA or sponge	RHOA
HIF1A	transcriptional regulation	GAPLINC
HCG11	transcriptional regulation	LATS1
PCBP2-OT1	expression association	VIM
HOXA-AS2	transcriptional regulation	RND3
FOXCUT	expression association	FOXC1
LINC00176	ceRNA or sponge	miR-185
SNHG17	ceRNA or sponge	NETO2
GAS6-AS1	ceRNA or sponge	SETD1A
HAGLR	ceRNA or sponge	PIK3R3
EZR-AS1	expression association	MMP2
LINC00504	ceRNA or sponge	MIR1244-1
DUXAP8	interact with protein	KDM1A
DSCAM-AS1	ceRNA or sponge	RRM2
IATPR	expression association	SNAI2
PTENP1	expression association	Cyclin D1
H19	ceRNA or sponge	DNMT1
SNHG15	ceRNA or sponge	CDK6
PVT1	ceRNA or sponge	miR-488-3p
LINC00339	ceRNA or sponge	DCP1A
MALAT1	expression association	MYBL2
MCM3AP-AS1	interact with protein	miR-211-5p
SNHG8	ceRNA or sponge	PDGFRA
LINC01535	ceRNA or sponge	BMP2
AC078922.1	ceRNA or sponge	miR-31
HIF1A-AS1	expression association	BCL2
MEG3	expression association	NLRP3
DRAIC	ceRNA or sponge	NFIB
TUBA4B	ceRNA or sponge	miR-19
UCA1	ceRNA or sponge	SF1
SNHG20	interact with protein	EZH2
CLNK	interact with protein	PARP1
MEG3	expression association	TERRA
MALAT1	ceRNA or sponge	OAS2
MIR7-3HG	ceRNA or sponge	PEG10
SNHG18	expression association	MYC
miR-148a-3p	expression association	PVT1
JPX	interact with protein	MTOR
RHPN1-AS1	ceRNA or sponge	MIR4261
LINC02349	ceRNA or sponge	SMAD5
TDRG1	ceRNA or sponge	TNFRSF21
SPRY4-IT1	expression association	MMP2
CRNDE	expression association	MTOR
TONSL-AS1	ceRNA or sponge	MIR197
NORAD	ceRNA or sponge	miR-155-5p
SNHG15	ceRNA or sponge	FKBP1A
YY1	transcriptional regulation	LINC01134
ID2-AS1	transcriptional regulation	ID2
BCAR4	expression association	ERBB3
GAS5	ceRNA or sponge	INPP5D
DLEU1	ceRNA or sponge	IGF1R
NRAD1	transcriptional regulation	SOX9
FAS-AS1	expression association	FAS
NBAT1	ceRNA or sponge	SOX7
TMPO-AS1	ceRNA or sponge	GOT1
AC093818.1	expression association	PDPK1
CERNA2	expression association	IMP3
CRNDE	expression association	BAX
lncRNA-PE	transcriptional regulation	miR-200a
PCAT29	expression association	MAPK3
NEAT1	expression association	AQP7
IQANK1	interact with protein	ELAVL1
EWSAT1	ceRNA or sponge	CCND1
HOTAIR	ceRNA or sponge	HOXC8
FAS-AS1	expression association	SIRT1
MYC	transcriptional regulation	DANCR
E2F1	transcriptional regulation	SBF2-AS1
DANCR	expression association	CDH1
SNHG14	ceRNA or sponge	MIR340
WiNTRLINC1	expression association	MYC
NORAD	transcriptional regulation	miR-590-3p
MIR592	ceRNA or sponge	NEAT1
TYKRIL	expression association	PDGFRB
YY1	transcriptional regulation	LINC00205
FBXL19-AS1	ceRNA or sponge	miR-203
NEAT1	ceRNA or sponge	MIR499B
DUXAP8	epigenetic regulation	CDKN1A
LNCRNA-ATB	interact with protein	DNMT1
lncRNA SRA	expression association	PPARG
MIAT	expression association	MYC
PVT1	expression association	YAP1
SPRY4-IT1	expression association	VIM
RP11-436H11.5	ceRNA or sponge	BCL2L2
LINC00662	ceRNA or sponge	miR-34a
LINC00641	ceRNA or sponge	PLSCR4
SNHG3	ceRNA or sponge	HOXC8
CPS1-IT1	expression association	CPS1
H19	ceRNA or sponge	LIN28A
lnc-RAB1A-2	expression association	FGF1
MIR31HG	ceRNA or sponge	miR-193b
EPB41L4A-AS1	transcriptional regulation	NPM1
TP53COR1	expression association	CCND1
HULC	ceRNA or sponge	TWIST1
H19	expression association	PRKAA1
SNHG7	ceRNA or sponge	WNT2B
HCP5	ceRNA or sponge	miR-139-5p
TUG1	expression association	p-JNK
XIST	ceRNA or sponge	PTEN
MALAT1	ceRNA or sponge	EZH2
ZFAS1	ceRNA or sponge	CCL5
GHET1	expression association	CDH1
MNX1-AS1	transcriptional regulation	CDKN1A
MIR22HG	expression association	YBX1
LNCRNA-ATB	transcriptional regulation	TP53
TCONS_00016233	expression association	IL-1Â¦Ã
HOTAIR	ceRNA or sponge	WT1
MIAT	expression association	CDH2
TRPM2-AS	interact with protein	TAF15
FOXD2-AS1	ceRNA or sponge	TMEM9
HOXA-AS3	ceRNA or sponge	SPNS2
HOTAIR	epigenetic regulation	LDHA
RPL34-DT	ceRNA or sponge	RGS4
SNHG20	expression association	CTNNB1
UCA1	expression association	miR-204-5p
COMETT	expression association	MMP2
CRNDE	interact with protein	EZH2
NEAT1	ceRNA or sponge	MIR483
ILF3-DT	ceRNA or sponge	MMP3
CYTOR	epigenetic regulation	CDKN2B
SPAAR	expression association	CTNNB1
NEAT1	expression association	SOX13
SNHG16	ceRNA or sponge	RRM2
NORAD	ceRNA or sponge	miR-556-3p
RP11-476D10.1	ceRNA or sponge	BECN1
MALAT1	ceRNA or sponge	EGFR
PCAT1	ceRNA or sponge	ZEB1
FLVCR1-DT	ceRNA or sponge	E2F2
ZRANB2	interact with mRNA	SNHG20
SNHG7	ceRNA or sponge	CBX7
DANCR	interact with mRNA	CTNNB1
TP53COR1	ceRNA or sponge	MIR451A
CPS1-IT1	expression association	CASP9
H19	expression association	MAPK3
miR-21	ceRNA or sponge	GAS5
CCAT2	expression association	miR-17-5p
LNCRNA-ATB	ceRNA or sponge	FERMT2
Lnc-EPIC1	interact with protein	MYC
MALAT1	epigenetic regulation	PCDH10
H19	ceRNA or sponge	miR-141
CDKN2B-AS1	ceRNA or sponge	BRI3
PCAT1	expression association	BAX
PCAT29	ceRNA or sponge	PTEN
SNHG16	ceRNA or sponge	TIMP3
AK022798	expression association	CASP8
CRNDE	ceRNA or sponge	MAPK1
LINC00662	interact with mRNA	LIN28A
SPP1	expression association	HOTAIR
PCAT1	expression association	NEK2
SOX2-OT	ceRNA or sponge	MIR363
LINP1	expression association	PIK3CA
CircZNF609	expression association	TP53
SNHG20	expression association	BCL2
LINC00466	ceRNA or sponge	HOXA10
KCNQ1OT1	ceRNA or sponge	HMGA2
circPVT1	ceRNA or sponge	miR-497-5p
HOXA11-AS	epigenetic regulation	LATS1
AATBC	expression association	CASP3
AK027294	expression association	EZH1
TP73-AS1	expression association	CDH1
CDKN2B-AS1	expression association	miR-320a
CDKN2B-AS1	ceRNA or sponge	PBX3
LINC00461	ceRNA or sponge	BCL2
BC050642	expression association	MYC
MEG3	ceRNA or sponge	HOXA11
AFAP1-AS1	expression association	CDH1
E7	transcriptional regulation	MALAT1
KCNQ1OT1	expression association	CTNNB1
HOTAIR	expression association	miR-125a-5p
CRNDE	ceRNA or sponge	SIX1
DUXAP9	ceRNA or sponge	TJP1
ANKRD40CL	expression association	E-cadherin
miR-103	ceRNA or sponge	lncWDR59
PCAT1	interact with protein	FKBP5
WDFY3-AS2	expression association	CDH2
PCA3	ceRNA or sponge	SREBF1
SMILR	ceRNA or sponge	KLF5
GAS5	ceRNA or sponge	RUNX2
FOXD2-AS1	ceRNA or sponge	MAP3K1
MIR210HG	interact with protein	OCT1
MALAT1	interact with mRNA	TGFB1
HOXC-AS1	ceRNA or sponge	MYC
IQANK1	expression association	NOTCH1
HOTAIR	interact with mRNA	RUNX2
MEG3	epigenetic regulation	miR-200c
HULC	interact with protein	EZH2
MAGI2-AS3	expression association	FAS
LNMICC	interact with protein	NPM1
STAT3	transcriptional regulation	LINC00668
CCDC144NL-AS1	expression association	VIM
HOTAIR	expression association	CCND1
SNHG12	ceRNA or sponge	STAT3
KCNQ1OT1	ceRNA or sponge	SOX6
CASC2	ceRNA or sponge	MIR221
SNHG1	expression association	hsa-miR-197-3p
PCGEM1	expression association	RPS6KB1
HOTAIR	ceRNA or sponge	miR-613
HOTAIR	ceRNA or sponge	RAB3IP
HOTAIR	expression association	SP1
RBM33	ceRNA or sponge	IL6
HOTAIR	expression association	FASN
AFAP1-AS1	expression association	RAB10
AATBC	expression association	CCND1
TCONS_00026907	ceRNA or sponge	ELK1
MALAT1	expression association	HMGB1
LIN28B-AS1	interact with mRNA	LIN28B
TUG1	ceRNA or sponge	miR-204-5p
H19	expression association	miR-181a
LINC01133	interact with protein	SRSF6
H19	expression association	VGF
NONHSAT009986	transcriptional regulation	WNT3A
HOTAIR	ceRNA or sponge	PTGS2
MEG3	ceRNA or sponge	miR-184
LINC00460	transcriptional regulation	HMGA1
LNC-HZ01	epigenetic regulation	MXD1
MALAT1	ceRNA or sponge	AKT1
TUSC7	ceRNA or sponge	CDK6
HOTAIRM1	interact with protein	HOXA
MYC	interact with protein	FIRRE
TUG1	expression association	BDNF
SNHG15	expression association	TNFSF11
NEAT1	ceRNA or sponge	miR-613
GAPLINC	ceRNA or sponge	MAPK1
PCAT29	expression association	TGFB1
LncRNA-HIT	interact with protein	ZEB1
SNHG5	interact with protein	MTA2
CCAT2	expression association	MYC
TINCR	interact with protein	EPCAM
FALEC	interact with protein	BMI1
MCF2L-AS1	ceRNA or sponge	RAB22A
FGD5-AS1	ceRNA or sponge	CDCA7
SNHG3	transcriptional regulation	N-cadherin
YY1	transcriptional regulation	HOTAIR
HNF1A-AS1	expression association	CCND1
LINC02835	interact with protein	p120-catenin
MALAT1	expression association	MAPK8
PICSAR	ceRNA or sponge	miR-4701-5p
MALAT1	ceRNA or sponge	RUNX2
SNHG3	ceRNA or sponge	WEE1
HOTAIR	expression association	IGF2BP2
LERFS	transcriptional regulation	RAC1
YY1	transcriptional regulation	LINC01089
FTX	expression association	DDX58
SNHG20	ceRNA or sponge	ZFX
LINC00589	ceRNA or sponge	FOXP2
Moshe	expression association	TBX2
TUG1	transcriptional regulation	TWIST1
Lnc13	interact with protein	STAT1
HOXA-AS2	transcriptional regulation	EZH2
LINC-ROR	ceRNA or sponge	RAD18
KCNQ1OT1	ceRNA or sponge	TRPS1
DUXAP8	interact with protein	EZH2
LINC01139	ceRNA or sponge	MIR1262
LINC00342	expression association	miR-545-5p
lncRNA-BCAT1	expression association	MMP2
FOXO1	chromatin looping	RAPIA
SNHG16	ceRNA or sponge	SUSD2
HAGLR	ceRNA or sponge	ARHGAP11A
LNCRNA-ATB	ceRNA or sponge	TGFB2
FENDRR	ceRNA or sponge	ELAVL1
SNHG7	expression association	E-cadherin
HOTAIR	epigenetic regulation	CCNA2
PVT1	expression association	MIR149
LINC00319	interact with protein	FUS
FTX	expression association	HK2
H19	expression association	CCL5
NONHSAT141924	transcriptional regulation	BCL2
HOTAIR	ceRNA or sponge	miR-200c
LNC-LBCS	interact with protein	HNRNPK
TTTY15	ceRNA or sponge	let-7
NRON	expression association	NFAT
HIF1A-AS2	expression association	BCL2
SRSF1	expression association	NEAT1
DLEU1	expression association	TRAF4
ZEB2-AS1	ceRNA or sponge	HMGB1
miR-204	ceRNA or sponge	HOTTIP
AGAP2-AS1	epigenetic regulation	MYD88
GAPLINC	ceRNA or sponge	miR-575
TCL6	expression association	CDK2
HOTAIR	ceRNA or sponge	ADAM10
lncRNA2448-11	expression association	TGFB1
FAM225B	ceRNA or sponge	CCND2
ST3GAL6-AS1	expression association	ST3GAL6
TCL6	expression association	EGFR
HOXA-AS2	expression association	TNFSF10
TTN-AS1	ceRNA or sponge	Cyclin D1
CRYBG3	expression association	ACTN4
TINCR	ceRNA or sponge	EGFR
MNX1-AS1	ceRNA or sponge	SIRT1
cir-GLI2	ceRNA or sponge	miR-125b-5p
AC132217.4	interact with mRNA	IGF2
XIST	ceRNA or sponge	MET
LINP1	expression association	HNF4A
NKILA	expression association	miR-485-5p
lnc-DILC	transcriptional regulation	IL6
CYTOR	ceRNA or sponge	CCND1
BRE-AS1	expression association	miR-21
LncHOXA10	interact with protein	SMARCA1
ZEB1-AS1	expression association	ID1
SNHG16	ceRNA or sponge	hsa-miR-186-5p
ZBTB7A	transcriptional regulation	LINC00473
PANDAR	interact with protein	SRSF2
SOX2-OT	ceRNA or sponge	miR-194-5p
CTBP1-DT	interact with protein	TLR4
NNT-AS1	ceRNA or sponge	PODXL
LINC00886	epigenetic regulation	PIK3R2
MEG3	interact with protein	DNMT1
TP53COR1	ceRNA or sponge	SIRT1
LINC00665	transcriptional regulation	VEGFA
LINC00665	ceRNA or sponge	E2F3
MALAT1	expression association	ROBO1
DUXAP8	epigenetic regulation	EGR1
MNX1-AS1	interact with protein	MAPK8
FAM201A	expression association	ABCE1
FENDRR	expression association	ABCB1
miR-101-3p	ceRNA or sponge	MALAT1
HOTAIRM1	ceRNA or sponge	miR-20a
FAM30A	expression association	VIM
BACE1-AS	ceRNA or sponge	CELF1
XLOC_006390	expression association	NRP2
miR-203	ceRNA or sponge	HULC
LNCRNA-ATB	ceRNA or sponge	PTEN
SNHG1	ceRNA or sponge	PHLDA1
LINC00589	interact with protein	ELAVL1
MAGI2-AS3	transcriptional regulation	ACY1
SNHG17	ceRNA or sponge	miR-124-3p
MEG3	expression association	PHLPP1
TFDP1	expression association	CTNNB1
HOTAIR	expression association	ADAMTS5
FOXCUT	transcriptional regulation	MMP2
FOXD2-AS1	ceRNA or sponge	MIR760
CCAL	ceRNA or sponge	FOXM1
JPX	ceRNA or sponge	HIF1A
NPTN-IT1	expression association	TIMP2
LBX2-AS1	ceRNA or sponge	LBX2
LINC00205	expression association	FUS
CCAT1	ceRNA or sponge	FGFR3
TPTEP1	expression association	VEGFA
ECRG4	expression association	BCYRN1
