Regulator	SearchregulatoryMechanism	Target
PVT1	expression association	MCL1
CCAT1	ceRNA or sponge	ITPKB
XIST	ceRNA or sponge	miR-29c
SNHG20	epigenetic regulation	CDKN1A
FOXC2-AS1	ceRNA or sponge	MMP2
MALAT1	ceRNA or sponge	CAPNS1
H19	ceRNA or sponge	DNMT3B
GAS5	ceRNA or sponge	FOXO1
NEAT1	ceRNA or sponge	miR-613
GHET1	interact with protein	ATF1
PCAT1	ceRNA or sponge	WNT1
HOTAIR	expression association	BECN1
HOTAIR	expression association	ABCB1
HOTAIR	expression association	ABCB4
DANCR	ceRNA or sponge	AXL
BLACAT1	ceRNA or sponge	miR-144
HOXA11-AS	ceRNA or sponge	miR-140-5p
HOXA11-AS	epigenetic regulation	CDKN1A
HOXA11-AS	ceRNA or sponge	miR-124
CASC2	expression association	SOX4
SNHG7	expression association	CDKN2B
SNHG7	expression association	CDKN2A
MALAT1	interact with protein	HMGB1
XIST	ceRNA or sponge	EGFR
HAS2-AS1	expression association	HAS2
MEG3	ceRNA or sponge	miR-93
HOXA11-AS	ceRNA or sponge	SP1
SNHG1	expression association	DNMT1
HAGLR	ceRNA or sponge	miR-147a
NNT-AS1	ceRNA or sponge	CDK6
IGFBP4-1	expression association	IGFBP4
HOTTIP	ceRNA or sponge	HOXA13
PVT1	ceRNA or sponge	miR-424
GAS5	ceRNA or sponge	miR-135b
H19	expression association	CUL4A
H19	expression association	ABCB1
PARTICL	expression association	WWOX
PCAT7	ceRNA or sponge	ELF2
TUG1	ceRNA or sponge	CPEB2
HULC	ceRNA or sponge	HMGA2
DPP10-AS1	expression association	TIMP3
TRERNA1	expression association	SNAI1
TRERNA1	epigenetic regulation	CDH1
MALAT1	ceRNA or sponge	miR-200c
MVIH	interact with protein	ARID1A
XIST	epigenetic regulation	CDKN1A
XIST	expression association	SP1
XIST	expression association	MGMT
NEAT1	ceRNA or sponge	miR-128
LncRNA-SARCC	transcriptional regulation	miR-143-3p
PVT1	ceRNA or sponge	MMP9
HCG11	interact with protein	IGF2BP1
H19	ceRNA or sponge	DNMT1
HOXA5	transcriptional regulation	LINC00312
MALAT1	expression association	CKS1B
H19	ceRNA or sponge	ID2
RP11-713B9.1	expression association	CADM1
TUG1	expression association	SOX4
HOTAIR	interact with protein	SLC2A1
SNHG3	ceRNA or sponge	MYC
PCAT1	expression association	CDKN1A
LOC90784	expression association	BAX
LOC90784	expression association	CDK4
LOC90784	expression association	CCND1
LOC90784	expression association	MMP2
LOC90784	expression association	MMP9
HULC	interact with protein	COX2
ZEB1-AS1	epigenetic regulation	ZEB1
PVT1	ceRNA or sponge	HK2
ABHD11-AS1	interact with protein	RHOC
HAGLR	ceRNA or sponge	SOX4
STAT3	transcriptional regulation	HAGLR
CRNDE	epigenetic regulation	DUSP5
LINC00461	ceRNA or sponge	TOP2A
XIAP-AS1	transcriptional regulation	XIAP
LINC0086	ceRNA or sponge	miR-214
LINC00668	ceRNA or sponge	VEGFA
H19	ceRNA or sponge	miR-21
MYC	transcriptional regulation	MALAT1
HOXA11-AS	epigenetic regulation	LATS1
H19	expression association	let-7a
ERLNC1	expression association	CDK4
ERLNC1	expression association	CDK6
ERLNC1	expression association	CCND1
HNF1A-AS1	ceRNA or sponge	SOX4
ZEB1-AS1	ceRNA or sponge	miR-200s
PVT1	ceRNA or sponge	miR-195
MALAT1	ceRNA or sponge	RAP1B
LL22NC03-N64E9.1	epigenetic regulation	KLF2
FER1L4	ceRNA or sponge	miR-106a-5p
HAGLR	ceRNA or sponge	ARHGAP11A
HAGLR	expression association	RGS3
SNHG15	ceRNA or sponge	miR-141
UCA1	epigenetic regulation	CDKN1A
UCA1	epigenetic regulation	CDH1
MALAT1	interact with protein	EZH2
AB073614	expression association	SOX7
LINC00673	ceRNA or sponge	miR-150-5p
HOXA-AS2	ceRNA or sponge	miR-520c-3p
TINCR	ceRNA or sponge	PDK1
ANCR	epigenetic regulation	CDKN1A
ANCR	epigenetic regulation	CDKN1B
CCEPR	expression association	PCNA
RSU1P2	ceRNA or sponge	MYC
lnc-Sox5	expression association	IDO1
TUG1	ceRNA or sponge	miR-145
MIR4435-2HG	interact with protein	YBX1
CCAT2	epigenetic regulation	CDKN2B
MEG3	ceRNA or sponge	CDH1
HULC	expression association	TP53
HULC	expression association	CDKN1A
MALAT1	expression association	MMP2
MALAT1	expression association	MMP9
MEG3	ceRNA or sponge	AIFM2
CDKN2B-AS1	ceRNA or sponge	let-7a
CASC2	ceRNA or sponge	miR-181a
CASC2	ceRNA or sponge	PTEN
MEG3	ceRNA or sponge	FOXO1
GAS5	transcriptional regulation	CDKN1B
XLOC_006390	expression association	KMT5A
RP11-169D4.1	expression association	CDH1
SPRY4-IT1	ceRNA or sponge	miR-101-3p
LINC00312	expression association	PI3K
LINC00312	expression association	AKT1
JMJD6	transcriptional regulation	HOTAIR
LINC00261	expression association	CTNNB1
TUG1	expression association	CCND1
TUG1	expression association	CDK4
MIR100HG	expression association	miR-100
MIR100HG	expression association	miR-125b
GATA6	transcriptional regulation	MIR100HG
miR-215	ceRNA or sponge	PCAT1
PCAT1	expression association	CRKL
LINC-ROR	expression association	DUSP7
FILNC1	expression association	MYC
FENDRR	expression association	MMP2
FENDRR	expression association	MMP9
NMRAL2P	expression association	TWIST1
NMRAL2P	expression association	VIM
NMRAL2P	expression association	CDH2
NMRAL2P	expression association	CDH1
TPM1-AS	interact with mRNA	TPM1
AFAP1-AS1	expression association	AKT1
AFAP1-AS1	expression association	PTEN
RP11-714G18.1	transcriptional regulation	LRP2BP
MVIH	expression association	JUNB
LINC00958	epigenetic regulation	VEGFC
FAF1	expression association	MAPK1
TUG1	expression association	BNIP3
TUG1	expression association	miR-145-5p
MEG3	expression association	MDM2
SCHLAP1	ceRNA or sponge	MAPK1
MEG3	ceRNA or sponge	PTEN
RAB11B-AS1	interact with mRNA	RAB11B
COL1A2-AS1	ceRNA or sponge	SMAD7
COL1A2-AS1	ceRNA or sponge	miR-21
FTX	ceRNA or sponge	BCL2L2
SNHG1	ceRNA or sponge	WNT2B
CYTOR	ceRNA or sponge	PRKAA1
MIAT	ceRNA or sponge	STAT3
TP73-AS1	ceRNA or sponge	TGFA
SNHG3	expression association	GSK3B
SNHG3	expression association	CTNNB1
MYC	transcriptional regulation	DANCR
DANCR	expression association	CDKN1A
TUG1	ceRNA or sponge	RUNX2
KLF3-AS1	ceRNA or sponge	GIT1
LOC100507600	ceRNA or sponge	BMI1
GAPLINC	ceRNA or sponge	EEF2K
HOXA-AS2	ceRNA or sponge	S100A4
SNHG16	ceRNA or sponge	ZEB1
CERNA2	expression association	JAK2
CERNA2	expression association	STAT3
XIST	ceRNA or sponge	SGK1
CRNDE	ceRNA or sponge	IRX5
MALAT1	expression association	MDM2
HOXA-AS2	ceRNA or sponge	GPC3
KCNQ1OT1	expression association	miR-214-3p
KCNQ1OT1	expression association	CASP1
H19	ceRNA or sponge	SOX4
H19	ceRNA or sponge	miR-194-5p
H19	expression association	FOXM1
MALAT1	ceRNA or sponge	VIM
AFAP1-AS1	expression association	IRF7
DLG1-AS1	ceRNA or sponge	ZHX1
HOTAIR	interact with protein	EZH2
PVT1	ceRNA or sponge	HILPDA
HOTAIR	ceRNA or sponge	CCND1
HOTAIR	ceRNA or sponge	CCND2
GAS5	ceRNA or sponge	PDCD4
KCNQ1OT1	ceRNA or sponge	CCNE2
EGFR-AS1	expression association	EGFR
MEG3	ceRNA or sponge	HOXA11
LINC00515	ceRNA or sponge	ATG14
BCYRN1	expression association	NPR3
TUG1	ceRNA or sponge	ZEB1
LINC01260	transcriptional regulation	CARD11
SNHG1	ceRNA or sponge	TGFBR2
SNHG1	ceRNA or sponge	RAB11A
LOC101930370	ceRNA or sponge	SHH
MIAT	ceRNA or sponge	LOXL2
NEAT1	ceRNA or sponge	USF1
LUCAT1	expression association	AKT1
LUCAT1	expression association	GSK3B
MALAT1	expression association	ATG7
CDR1-AS	ceRNA or sponge	miR-135a
TUG1	expression association	miR-223
ZFAS1	expression association	WNT3A
HOTAIR	epigenetic regulation	PTEN
LINC00261	ceRNA or sponge	FOXO1
STAT3	interact with protein	MEG3
MEG3	interact with protein	JAK2
MEG3	ceRNA or sponge	miR-147
FALEC	interact with protein	PDK1
FOXCUT	transcriptional regulation	MMP9
FOXCUT	transcriptional regulation	MMP2
CASC15	ceRNA or sponge	LGR5
AFAP1-AS1	ceRNA or sponge	TCF4
PCBP2-OT1	expression association	CDKN1A
PCBP2-OT1	expression association	CCND1
BANCR	expression association	MAP1LC3A
BANCR	expression association	MAP1LC3B
PART1	ceRNA or sponge	BCL2
TGFB1	expression association	LNCRNA-ATB
PVT1	ceRNA or sponge	FGFR1
PVT1	ceRNA or sponge	FGF2
NEAT1	expression association	CDK5R1
SPINT1-AS1	expression association	SPINT1
CASC2c	expression association	F10
CASC2c	ceRNA or sponge	CPEB1
miR-103	ceRNA or sponge	lncWDR59
MALAT1	ceRNA or sponge	miR-199b
CRNDE	expression association	FOXM1
NORAD	expression association	TGFB1
KCNQ1OT1	expression association	SMAD4
PCGEM1	expression association	miR-148a
PGK1P2	ceRNA or sponge	PGK1
NONHSAG045500	expression association	SLC6A4
LOXL1-AS1	expression association	PI3K
LOXL1-AS1	expression association	AKT1
MALAT1	expression association	CHUK
MALAT1	expression association	PARP1
MIR22HG	ceRNA or sponge	HMGB1
DANCR	ceRNA or sponge	SPHK2
HAGLROS	expression association	miR-100
SNHG1	expression association	miR-137
CYTOR	expression association	BCL2
CYTOR	expression association	MMP9
H19	ceRNA or sponge	COL1A1
DUXAP9	ceRNA or sponge	MYCN
PVT1	expression association	MTOR
PVT1	expression association	ABCC1
PVT1	expression association	ABCB1
PVT1	expression association	BCL2
PCAT29	expression association	RASAL1
PCAT29	expression association	MAPK3
PCAT29	expression association	MAPK1
PCAT29	expression association	TGFB1
PCAT29	expression association	miR-221
NORAD	expression association	PUM2
NORAD	expression association	E2F3
BDNF-AS	expression association	BDNF
PAUPAR	epigenetic regulation	PAX6
H19	expression association	PI3K
H19	expression association	AKT1
H19	expression association	MTOR
TUG1	expression association	miR-29b
H19	interact with protein	SREBF1
H19	interact with protein	PTBP1
HOTAIR	expression association	SNAI1
HOTAIR	expression association	CDH1
MALAT1	expression association	BAX
MALAT1	expression association	CASP3
MALAT1	expression association	BCL2
MALAT1	expression association	PI3K
MALAT1	expression association	MTOR
MALAT1	expression association	GSK3B
LNCARSR	expression association	SREBF1
MALAT1	expression association	CDH1
MALAT1	expression association	CTNNB1
MALAT1	expression association	VIM
LINC01138	interact with protein	PRMT5
GAPLINC	ceRNA or sponge	miR-382-5p
GAPLINC	ceRNA or sponge	miR-575
HOTAIR	ceRNA or sponge	miR-17-5p
NPTN-IT1	expression association	TIMP2
E2F1	transcriptional regulation	RGMB-AS1
HK2P1	ceRNA or sponge	HK2
ENST00113	expression association	PI3K
ENST00113	expression association	AKT1
ENST00113	expression association	MTOR
MALAT1	expression association	FAS
PDIA3P1	transcriptional regulation	G6PD
FENDRR	ceRNA or sponge	FOXF1
MEG3	ceRNA or sponge	miR-184
NEAT1	expression association	miR-335-5p
NEAT1	expression association	ROCK1
miR-122	expression association	HOTTIP
miR-204	ceRNA or sponge	HOTTIP
TGFB1	expression association	MALAT1
LIN28A	interact with mRNA	MALAT1
EBF3-AS	expression association	EBF3
MALAT1	ceRNA or sponge	VEGFA
SNHG16	ceRNA or sponge	E2F1
HOTTIP	expression association	CCND1
HOTTIP	expression association	PCNA
HOTTIP	expression association	MYC
H19	expression association	BCR-ABL
MEG3	ceRNA or sponge	miR-223
MEG3	expression association	NLRP3
MSX2P1	ceRNA or sponge	S100A7
GHET1	expression association	LATS1
GHET1	expression association	YAP1
GAS5	transcriptional regulation	EZH2
H19	ceRNA or sponge	WNT1
SNHG5	ceRNA or sponge	SOX2
CASC7	ceRNA or sponge	miR-30c
ZEB1	expression association	HOTAIR
HOTAIR	expression association	EZH2
LINC00312	expression association	miR-197-3p
linc-DYNC2H1-4	ceRNA or sponge	MMP3
TSLP	transcriptional regulation	HOTAIR
MEG3	expression association	miR-770-5p
MEG3	expression association	SRGAP1
SLC7A11-AS1	expression association	SLC7A11
SNHG1	expression association	MYC
SNHG1	expression association	TCF7
PVT1	ceRNA or sponge	miR-488-3p
MALAT1	ceRNA or sponge	ZEB2
LINC00630	interact with protein	HDAC1
LINC00630	interact with protein	DDX23
NEAT1	ceRNA or sponge	HMGA1
DLEU2	ceRNA or sponge	ZEB2
UCA1	transcriptional regulation	CCND1
lncRNA625	ceRNA or sponge	miR-432
miR-26a	epigenetic regulation	MEG3
FOXCUT	expression association	FOXC1
AL163636.1	interact with protein	EGFR
LINC00673	epigenetic regulation	HOXA5
TLX3	interact with protein	MIR99AHG
MIR99AHG	expression association	miR-125b
UCA1	ceRNA or sponge	miR-18a
HOTAIR	expression association	LRRK2
MALAT1	expression association	AKT1
HOTAIR	expression association	ADAMTS5
MEG3	expression association	NOTCH1
MEG3	expression association	TGFB1
H19	ceRNA or sponge	SOX8
lncRNA-p3134	expression association	PI3K
lncRNA-p3134	expression association	AKT2
lncRNA-p3134	expression association	MTOR
GAS5	expression association	KLF2
RP11-445H22.4	ceRNA or sponge	CXCR4
CCAT1	expression association	let-7c
TUG1	expression association	miR-455-3p
TUG1	expression association	HK2
LINC00589	interact with protein	STAT3
ZFAS1	ceRNA or sponge	miR-27a
MALAT1	expression association	miR-146a
MEG3	ceRNA or sponge	NFE2L2
MEG3	ceRNA or sponge	ZEB1
MALAT1	ceRNA or sponge	miR-127-5p
miR-19a	ceRNA or sponge	NBR2
DGCR5	ceRNA or sponge	KLF14
GAS5	ceRNA or sponge	miR-18a-5p
MALAT1	ceRNA or sponge	CDK9
TNF	expression association	HIF1A-AS1
HIF1A-AS1	expression association	CASP3
HOTAIR	expression association	OGFR
H19	ceRNA or sponge	miR-130b
LINC00472	ceRNA or sponge	DEDD
GAS5	expression association	MTOR
circPVT1	ceRNA or sponge	miR-497-5p
MALAT1	expression association	CDC6
LINC-ROR	ceRNA or sponge	SOX9
XIST	ceRNA or sponge	PDE4D
HIF1A-AS2	ceRNA or sponge	HIF1A
LINC00941	ceRNA or sponge	SNAI1
LINC00941	interact with protein	ANXA2
RP11-296A18.3	ceRNA or sponge	HIF1A
TP53COR1	expression association	OLR1
XIST	ceRNA or sponge	LARP1
H19	expression association	IRS1
MALAT1	expression association	CXCL5
H19	ceRNA or sponge	DSG1
uc.339	ceRNA or sponge	CCNE2
YAP1	transcriptional regulation	BCAR4
HOTAIR	epigenetic regulation	miR-193a
miR-193a	ceRNA or sponge	HOTAIR
LINC01567	ceRNA or sponge	miR-93
HOTAIR	expression association	miR-34a
WDR7-7	expression association	GPER1
XIST	ceRNA or sponge	RSF1
YY1	transcriptional regulation	SOX2-OT
LINC00346	expression association	JAK2
LINC00346	expression association	STAT3
IATPR	expression association	ZEB1
TP73-AS1	ceRNA or sponge	miR-142
FOXD2-AS1	ceRNA or sponge	ABCC3
ZFAS1	ceRNA or sponge	miR-329
DANCR	expression association	miR-758-3p
CDKN2B-AS1	ceRNA or sponge	miR-125a
HEIH	expression association	BCL2L1
HEIH	ceRNA or sponge	miR-939
NEAT1	ceRNA or sponge	ROCK1
GAS5	ceRNA or sponge	SPRY2
SNHG1	ceRNA or sponge	MTDH
MAGI2-AS3	expression association	FAS
MAGI2-AS3	expression association	FASLG
HAGLR	ceRNA or sponge	miR-217
MEG3	expression association	miR-21
ITGB2-AS1	expression association	ITGB2
MIR22HG	expression association	YBX1
MIR22HG	expression association	MET
MIR22HG	expression association	CDKN1A
HOTAIRM1	ceRNA or sponge	DLGAP1
PVT1	epigenetic regulation	STAT1
HULC	ceRNA or sponge	PTEN
HULC	ceRNA or sponge	SQSTM1
UCA1	expression association	CDKN1B
UCA1	expression association	MTOR
UCA1	expression association	KRAS
HOTAIR	ceRNA or sponge	miR-613
TUG1	ceRNA or sponge	miR-153
LINC-ROR	ceRNA or sponge	MUC1
HOTAIR	ceRNA or sponge	NPM1
SNHG20	ceRNA or sponge	ADAM10
SNHG6	expression association	CDKN1A
SNHG7	ceRNA or sponge	CCND1
lncRNA-CTD-2108O9.1	expression association	LIFR
CYTOR	ceRNA or sponge	miR-107
OIP5-AS1	ceRNA or sponge	DYRK1A
TP63	transcriptional regulation	LINC01503
XIST	ceRNA or sponge	NOTCH1
HAGLR	ceRNA or sponge	E2F8
AWPPH	epigenetic regulation	SMAD4
XIST	ceRNA or sponge	MAPK1
H19	ceRNA or sponge	miR-484
MALAT1	ceRNA or sponge	AKAP12
H19	ceRNA or sponge	GRN
LINC00554	transcriptional regulation	MARCKSL1
LINC00554	transcriptional regulation	MARCKS
ABHD11-AS1	interact with protein	CCND1
AFAP1-AS1	epigenetic regulation	CDKN1A
RP5-1024C24.1	expression association	MPPED2
LINC00599	ceRNA or sponge	miR-185-5p
LINC00473	expression association	USP9X
ZFAS1	expression association	KLF2
ZFAS1	expression association	NKD2
ZFAS1	expression association	ZEB2
ZFAS1	expression association	ZEB1
PVT1	ceRNA or sponge	TWIST1
NEAT1	ceRNA or sponge	PNPLA2
GAPLINC	ceRNA or sponge	MAPK1
UCA1	ceRNA or sponge	miR-144
CAMTA1-DT	ceRNA or sponge	miR-20b
CEBPB	transcriptional regulation	NEAT1
MIAT	ceRNA or sponge	miR-214
PVT1	ceRNA or sponge	miR-190a-5p
TMEM238L	expression association	miR-942
OIP5-AS1	ceRNA or sponge	ZEB1
MALAT1	interact with protein	SP1
RP11-552M11.4	interact with mRNA	BRCA2
lncRNA-PRLB	ceRNA or sponge	SIRT1
MRUL	expression association	ABCB1
UCA1	interact with protein	SMARCA4
H19	ceRNA or sponge	HMGA2
MALAT1	interact with protein	PTBP2
H19	expression association	miR-675
H19	expression association	TGFBI
SOX2-OT	interact with protein	EZH2
SOX2-OT	expression association	CCNB1
SOX2-OT	expression association	CDK1
HOTAIR	expression association	VIM
HOTAIR	expression association	MMP9
LINC-ROR	ceRNA or sponge	ZEB2
H19	expression association	RUNX1
HNF1A-AS1	expression association	H19
TUSC8	interact with mRNA	MYC
H19	interact with protein	ISM1
H19	interact with protein	CALN1
HOTAIR	ceRNA or sponge	ERBB2
UCA1	expression association	WNT6
BANCR	expression association	CDH1
BANCR	expression association	CDH2
BANCR	expression association	VIM
MALAT1	interact with protein	SUZ12
HOTAIR	expression association	RBM38
miR-148a	epigenetic regulation	MEG3
UCA1	interact with protein	CDKN1B
HOTAIR	epigenetic regulation	WIF1
miR-125b	ceRNA or sponge	MALAT1
HOTAIR	expression association	HOXA5
BLACAT1	interact with protein	SUZ12
BLACAT1	interact with protein	EZH2
HOXA-AS2	expression association	TNFSF10
CBR3-AS1	ceRNA or sponge	AR
H19	epigenetic regulation	miR-200
UCA1	expression association	CREB1
HOTAIR	expression association	VEGFA
HOTAIR	epigenetic regulation	CDKN2A
HOTAIR	expression association	DNMT1
NEAT1	ceRNA or sponge	SPP1
NEAT1	ceRNA or sponge	KLF6
ZBTB7A	transcriptional regulation	LINC00473
LINC00473	transcriptional regulation	IL24
NEAT1	ceRNA or sponge	miR-194
GHET1	expression association	CDH1
GHET1	expression association	CDH2
GHET1	expression association	VIM
AC132217.4	interact with mRNA	IGF2
KLF8	transcriptional regulation	AC132217.4
MALAT1	ceRNA or sponge	STMN1
MALAT1	ceRNA or sponge	RAB5A
MALAT1	ceRNA or sponge	ATG4D
YY1	transcriptional regulation	HOTAIR
HOTAIR	expression association	MMP2
IFNG-AS1	expression association	HLA-DRB1
H19	transcriptional regulation	EPCAM
TUG1	ceRNA or sponge	EZH2
MALAT1	ceRNA or sponge	SMAD4
MALAT1	ceRNA or sponge	PIK3R1
PURPL	expression association	TP53
AFAP1-AS1	ceRNA or sponge	RAP1B
miR-101-3p	ceRNA or sponge	MALAT1
NEAT1	interact with protein	SIN3A
NEAT1	transcriptional regulation	GATA3
MIR155HG	expression association	miR-155
LINC01139	expression association	LDHA
OIP5-AS1	ceRNA or sponge	KLF10
UCA1	expression association	miR-204-5p
lncSHRG	transcriptional regulation	HES6
LINC00313	transcriptional regulation	SOX2
MIR31HG	ceRNA or sponge	miR-193b
lnc-DILC	transcriptional regulation	IL6
lnc-DILC	expression association	STAT3
SPRY4-IT1	expression association	DPP4
OIP5-AS1	ceRNA or sponge	ELAVL1
MALAT1	epigenetic regulation	CDH1
MEG3	ceRNA or sponge	HDAC7
MALAT1	ceRNA or sponge	SNAI2
MEG3	ceRNA or sponge	SKP2
FOXD3	transcriptional regulation	OLA1P2
OLA1P2	interact with protein	STAT3
MALAT1	expression association	miR-140
UHRF1	epigenetic regulation	MEG3
MEG3	interact with protein	TP53
MALAT1	ceRNA or sponge	miR-145
LINC-ROR	ceRNA or sponge	NANOG
ZFAS1	ceRNA or sponge	CDK1
miR-203	ceRNA or sponge	HULC
MEG3	expression association	miR-21-5p
UCA1	expression association	ZEB1
UCA1	expression association	ZEB2
UCA1	ceRNA or sponge	FSCN1
CDKN2B-AS1	interact with protein	YY1
MALAT1	ceRNA or sponge	GRB2
miR-192	ceRNA or sponge	HOTTIP
UCA1	expression association	TERT
UCA1	transcriptional regulation	MYC
GAS5	ceRNA or sponge	CDKN1B
TINCR	expression association	KLF2
MEG3	ceRNA or sponge	E2F3
miR-1	ceRNA or sponge	MALAT1
LSINCT5	expression association	CASP1
LSINCT5	expression association	IL1B
SIRT1-AS	interact with mRNA	SIRT1
HOTAIR	expression association	CCNJ
HOTAIR	epigenetic regulation	miR-205
TUG1	ceRNA or sponge	ZEB2
FER1L4	expression association	miR-106a-5p
HOTAIR	transcriptional regulation	SETD2
TUG1	epigenetic regulation	KLF2
UCA1	ceRNA or sponge	miR-143
MEG3	ceRNA or sponge	BCL2
PCA3	interact with mRNA	PRUNE2
WSPAR	epigenetic regulation	TCF7
BGLT3	ceRNA or sponge	PTEN
XIST	ceRNA or sponge	miR-152
MALAT1	ceRNA or sponge	miR-205
PANDAR	expression association	BCL2
RP5-833A20.1	expression association	miR-382-5p
RP5-833A20.1	expression association	NFIA
MEG3	expression association	VEGFA
VLDLR-AS1	expression association	ABCG2
PCGEM1	ceRNA or sponge	miR-145
OIP5-AS1	expression association	YAP1
HOXA11-AS	epigenetic regulation	CTNNB1
HOXA11-AS	epigenetic regulation	KLF2
RP11-708H21.4	expression association	AKT1
RP11-708H21.4	expression association	MTOR
RP11-708H21.4	expression association	RPS6KB1
LUCAT1	epigenetic regulation	CDKN1A
LUCAT1	epigenetic regulation	CDKN1C
PHBP1	interact with mRNA	PHB
MALAT1	ceRNA or sponge	TRAF6
UC.134	expression association	LATS1
UC.134	expression association	YAP1
CBR3-AS1	expression association	CDH2
CBR3-AS1	expression association	CCND1
CBR3-AS1	expression association	CDH1
NKILA	expression association	SNAI1
NKILA	expression association	NFKB1
NKILA	expression association	NFKBIA
CRNDE	expression association	CTNNB1
CRNDE	expression association	MYC
CRNDE	expression association	CCND1
CRNDE	ceRNA or sponge	miR-136
XIST	ceRNA or sponge	RAC1
HNRNPKP2	expression association	CXCR4
STAT5A	expression association	HNRNPKP2
TP73-AS1	ceRNA or sponge	HMGB1
TP73-AS1	expression association	AGER
PRAL	expression association	TP53
XIST	ceRNA or sponge	PTEN
LINC00672	expression association	LASP1
CCAT1	epigenetic regulation	SPRY4
CCAT1	ceRNA or sponge	HOXB13
LNCSRLR	expression association	IL6
LNCSRLR	expression association	STAT3
GASAL1	expression association	E2F1
lncRNA-BCAT1	expression association	CCND1
lncRNA-BCAT1	expression association	MYC
lncRNA-BCAT1	expression association	MMP2
lncRNA-BCAT1	expression association	CTNNB1
MALAT1	ceRNA or sponge	TYMS
TUG1	expression association	HMGB1
AK093407	interact with protein	STAT3
SNHG16	ceRNA or sponge	E2F5
PSMD6-AS1	transcriptional regulation	MDM2
lnc-Sox5	interact with protein	ELAVL1
PVT1	ceRNA or sponge	HIF1A
UCA1	expression association	CASP3
UCA1	expression association	CDK2
UCA1	expression association	CDKN1A
LINC01116	expression association	GAPDH
LINC01116	expression association	MAP1LC3B2
LINC01116	expression association	H2AFY
FTX	ceRNA or sponge	MTDH
HAGLR	expression association	CDKN1A
PVT1	expression association	MYC
LINC01013	expression association	SNAI1
LOC100129148	ceRNA or sponge	KLF12
RB1-DT	epigenetic regulation	RB1
LINC00092	interact with protein	PFKFB2
UCA1	ceRNA or sponge	BCL2
CASC2	expression association	CTNNB1
SNHG1	ceRNA or sponge	SOX9
